a_a_1;tetrapsifios_mai;ktirio_ypiresia;perifereia_1;nomos_1;megethos_1;typos_1;diefthinsi_forea;arithmos;tk_1;dimos_1;longitude;latitude
21512;;10ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΠΑΝ. ΚΥΡΙΑΚΟΥ;12;11521;(null);23,753614;37,982605
21528;;2ο ΤΕΕ ΓΑΛΑΤΣΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΕΣΑΙΟΣ;ΠΑΙΔΕΙΑ - ΤΕΕ;ΤΑΥΓΕΤΟΥ 60 & ΠΑΣΣΩΒ 8;;11141;ΓΑΛΑΤΣΙΟΥ;23,735427;38,0137
21529;;2ο ΤΕΕ Ν. ΦΙΛΑΔΕΛΦΕΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΕΣΑΙΟΣ;ΠΑΙΔΕΙΑ - ΤΕΕ;ΛΑΧΑΝΑ;7;14342;ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ;23,736183;38,047558
21531;;4ο ΤΕΕ ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΕΣΑΙΟΣ;ΠΑΙΔΕΙΑ - ΤΕΕ;ΤΣΗΛΕΡ ΚΑΙ ΡΩΣ;1;11144;ΑΘΗΝΑΙΩΝ;23,729776;38,020203
21534;;7ο ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΡΙΣΤΕΡΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΙΘΑΚΗΣ ΚΑΙ ΡΟΔΟΥ;;12133;ΠΕΡΙΣΤΕΡΙΟΥ;23,699585;38,015066
21535;;2ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΜΕΓΑΛΟΥ ΑΛΕΞΑΝΔΡΟΥ;128;13562;ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ ΑΤΤΙΚΗΣ;23,724494;38,032319
21536;;3ο ΝΗΠΙΑΓΩΓΕΙΟ ΜΕΤΑΜΟΡΦΩΣΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΗΛΕΙΑΣ;27;14451;ΜΕΤΑΜΟΡΦΩΣΗΣ;23,761352;38,056619
21537;;28ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΑΙΓΙΝΗΣ;61;11362;ΑΘΗΝΑΙΩΝ;23,735562;37,997273
21540;;4ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΛΙΜΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΜΥΡΟΓΙΑΝΝΗ ΚΑΙ ΚΥΒΕΛΗΣ;0;17456;ΑΛΙΜΟΥ;23,73083;37,916174
21578;;ΓΥΜΝΑΣΙΟ ΠΕΙΡΑΙΑ ΠΕΙΡΑΜΑΤΙΚΟ ΙΩΝΙΔΕΙΟΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΣΩΤΗΡΟΣ ΔΙΟΣ;17;18535;ΠΕΙΡΑΙΑ;23,643563;37,940884
21588;;4ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΗΛΙΟΥΠΟΛΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΒΑΚΧΟΥ;13;16345;ΗΛΙΟΥΠΟΛΗΣ;23,748453;37,942526
21591;;ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΕΙΡΑΜΑΤΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟΥ ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΣΚΟΥΦΑ;43;10673;ΑΘΗΝΑΙΩΝ;23,734598;37,978632
21597;;ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΝΕΑΣ ΕΡΥΘΡΑΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΚΑΖΑΝΤΖΑΚΗ 29 & ΣΚΟΥΦΑ ΓΩΝΙΑ;;14671;ΝΕΑΣ ΕΡΥΘΡΑΙΑΣ;23,809992;38,096937
21598;;1ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΛΥΚΟΒΡΥΣΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΚΟΤΤΟΥ 6 - ΡΙΜΙΝΙ;;14123;ΛΥΚΟΒΡΥΣΗΣ;23,784025;38,065674
21599;;2ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΚΑΛΒΟΥ;103;14231;ΝΕΑΣ ΙΩΝΙΑΣ ΑΤΤΙΚΗΣ;23,752381;38,040827
21600;;3ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΔΕΜΙΡΔΕΣΙΟΥ;121;14233;ΝΕΑΣ ΙΩΝΙΑΣ ΑΤΤΙΚΗΣ;23,755419;38,029594
21602;;1ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;Παπάγου;23;17343;ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ ΑΤΤΙΚΗΣ;23,731968;37,941618
21608;;1ο ΤΕΕ ΚΑΙΣΑΡΙΑΝΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΕΣΑΙΟΣ;ΠΑΙΔΕΙΑ - ΤΕΕ;ΗΡΩΣ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ;2;16121;ΚΑΙΣΑΡΙΑΝΗΣ;23,758865;37,962176
21609;;10ο ΤΕΕ ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΕΣΑΙΟΣ;ΠΑΙΔΕΙΑ - ΤΕΕ;ΤΙΜΟΘΕΟΥ 18 & ΔΑΜΑΡΕΩΣ;;;ΑΘΗΝΑΙΩΝ;23,7493;37,96449
21612;;8ο ΤΕΕ ΑΘΗΝΑΣ ΕΣΠΕΡΙΝΟ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΕΣΑΙΟΣ;ΠΑΙΔΕΙΑ - ΤΕΕ;ΑΔΡΙΑΝΟΥ 114;(null);;ΑΘΗΝΑΙΩΝ;23,7300732;37,973341
21614;;34ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΑΚΟΜΙΝΑΤΟΥ;40;10438;ΑΘΗΝΑΙΩΝ;23,720306;37,986046
21615;;3ο ΝΗΠΙΑΓΩΓΕΙΟ ΧΑΙΔΑΡΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΜΑΚΡΥΓΙΑΝΝΗ;1;12461;ΧΑΙΔΑΡΙΟΥ;23,659002;38,011831
21616;;15ο ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΡΙΣΤΕΡΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;Κ. ΠΑΛΑΜΑ ΚΑΙ Μ. ΑΛΕΞΑΝΔΡΟΥ;;12132;ΠΕΡΙΣΤΕΡΙΟΥ;23,698068;38,009763
21617;;7ο ΝΗΠΙΑΓΩΓΕΙΟ ΙΛΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΜΠΟΥΜΠΟΥΛΙΝΑΣ;2;13122;ΙΛΙΟΥ;23,695348;38,022979
21618;;2ο ΝΗΠΙΑΓΩΓΕΙΟ ΠΑΠΑΓΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΜΑΚΕΔΟΝΙΑΣ;2;15669;ΠΑΠΑΓΟΥ;23,791653;37,983321
21619;;3ο ΝΗΠΙΑΓΩΓΕΙΟ ΚΗΦΙΣΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΕΛΑΙΩΝ ΚΑΙ ΠΗΓΑΣΟΥ;2;14564;ΚΗΦΙΣΙΑΣ;23,795519;38,08906
21620;;6ο ΝΗΠΙΑΓΩΓΕΙΟ ΗΡΑΚΛΕΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΙΩΑΝΝΙΝΩΝ;34;14122;ΗΡΑΚΛΕΙΟΥΑΤΤΙΚΗΣ;23,777762;38,056511
21914;;4ο ΓΥΜΝΑΣΙΟ ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΣΑΜΟΥ;46;10439;ΑΘΗΝΑΙΩΝ;23,71816;37,988982
21621;;5ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΞΑΝΘΗΣ;48;17341;ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ ΑΤΤΙΚΗΣ;23,717939;37,927475
21674;;2ο ΓΥΜΝΑΣΙΟ ΤΑΥΡΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΚΟΡΥΖΗ ΚΑΙ ΘΡΑΚΗΣ;;17778;ΤΑΥΡΟΥ;23,695314;37,96526
21622;;15ο ΝΗΠΙΑΓΩΓΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΠΛ. ΤΣΑΛΔΑΡΗ ΚΑΙ ΦΕΡΤΕΚΙΟΥ;1;14233;ΝΕΑΣ ΙΩΝΙΑΣ ΑΤΤΙΚΗΣ;23,75862;38,031314
21623;;9ο ΝΗΠΙΑΓΩΓΕΙΟ ΗΛΙΟΥΠΟΛΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΧΕΛΜΟΥ;1;16344;ΗΛΙΟΥΠΟΛΗΣ;23,755834;37,945659
21624;;ΝΗΠΙΑΓΩΓΕΙΟ ΒΑΡΚΙΖΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΤΙΤΑΝΩΝ;16;16672;ΒΑΡΗΣ;23,7957121;37,8187259
21740;;13ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΡΓΥΡΟΥΠΟΛΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΜΙΛΙΗΤΟΥ;38;16451;ΑΡΓΥΡΟΥΠΟΛΗΣ;23,753871;37,901537
21664;;22ο ΝΗΠΙΑΓΩΓΕΙΟ ΝΙΚΑΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΡΑΙΔΕΣΤΟΥ;17;18453;ΝΙΚΑΙΑΣ ΠΕΙΡΑΙΑ;23,640321;37,970637
21864;;9ο ΤΕΕ ΠΕΙΡΑΙΑ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΕΣΑΙΟΣ;ΠΑΙΔΕΙΑ - ΤΕΕ;ΔΕΛΗΓΙΩΡΓΗ;10;18533;ΠΕΙΡΑΙΑ;23,6567373;37,9465451
21671;;ΓΥΜΝΑΣΙΟ ΠΕΙΡΑΙΑ ΠΕΙΡΑΜΑΤΙΚΟ ΖΑΝΝΕΙΟ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΚΟΛΟΚΟΤΡΩΝΗ;6;18531;ΠΕΙΡΑΙΑ;23,645933;37,946259
21672;;ΓΥΜΝΑΣΙΟ ΡΟΔΟΠΟΛΗΣ ΑΝ. ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΠΛΑΤΕΙΑ 25ης ΜΑΡΤΙΟΥ;;14574;ΡΟΔΟΠΟΛΕΩΣ (ΜΠΑΛΑΣ);23,874528;38,111895
21673;;2ο ΓΥΜΝΑΣΙΟ ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΤΡΩΑΔΟΣ;37;14342;ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ;23,729043;38,032387
21675;;7ο ΓΥΜΝΑΣΙΟ ΙΛΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΑΛΑΜΑΝΑΣ & ΔΙΟΣ;;13122;ΙΛΙΟΥ;23,703325;38,024019
21676;;1ο ΓΡΑΦΕΙΟ Δ.Ε. Α ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΓΡΑΦΕΙΟ;ΛΥΚΟΥΡΓΟΥ;18;105 50;ΑΘΗΝΑΙΩΝ;23,724616;37,982278
21677;;2ο ΓΡΑΦΕΙΟ Δ.Ε. Α ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΓΡΑΦΕΙΟ;ΛΥΚΟΥΡΓΟΥ;18;105 52;ΑΘΗΝΑΙΩΝ;23,724616;37,982278
21679;;ΠΑΡΑΡΤΗΜΑ ΔΗΜΟΤΙΚΗΣ ΒΙΒΛΙΟΘΗΚΗΣ ΠΕΙΡΑΙΑ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΠΕΤΡΟΥ ΡΑΛΛΗ 121;(null);18453;(null);23,6472702;37,9687588
21690;;43ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΑΣΠΡΟΓΕΡΑΚΑ;2;11744;ΑΘΗΝΑΙΩΝ;23,723169;37,952694
21694;;"ΙΔΙΩΤΙΚΟ ΓΥΜΝΑΣΙΟ ""ΒΑΣ. ΠΡΟΒΑΤΑ""";ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;0;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΑΡΕΟΠΟΛΕΩΣ 2;(null);12462;(null);23,6455172;38,0112114
21697;;3ο ΣΕΚ Β' ΠΕΙΡΑΙΑ (ΓΑΛΑΤΑ);ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΣΕΚ;ΓΑΛΑΤΑΣ ΤΡΟΙΖΗΝΙΑΣ;;18020;ΠΕΙΡΑΙΑ;23,457729;37,474027
21702;;18ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΠΛΑΤΕΙΑ ΤΣΑΛΔΑΡΗ;0;14233;ΝΕΑΣ ΙΩΝΙΑΣ ΑΤΤΙΚΗΣ;23,7588203;38,0358686
21739;;10ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΡΓΥΡΟΥΠΟΛΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΡΟΥΜΕΛΗΣ;104;16451;ΑΡΓΥΡΟΥΠΟΛΗΣ;23,750234;37,914596
21744;;1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΜΑΚΡΗΣ ΕΙΔΙΚΟ ΠΑΜΜΑΚΑΡΙΣΤΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΛΕΩΦΟΡΟΣ ΜΑΡΑΘΩΝΟΣ;1;19005;(null);23,982145;38,0604027
21747;;3ο ΓΥΜΝΑΣΙΟ ΓΑΛΑΤΣΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΔΡΥΟΠΙΔΟΣ;7;11147;ΓΑΛΑΤΣΙΟΥ;23,755894;38,018538
21756;;24ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΓΙΑΝΝΗ ΣΟΥΚΑ;3;11522;ΑΘΗΝΑΙΩΝ;23,752262;37,99517
21757;;1ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΕΥΚΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;Λ. ΕΙΡΗΝΗΣ;34;15121;ΠΕΥΚΗΣ;23,7864;38,057943
21758;;ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ ΕΙΔΙΚΟ ΚΩΦΩΝ ΒΑΡΗΚΟΩΝ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΠΙΝΔΟΥ;27;15343;ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ ΑΤΤΙΚΗΣ;23,822585;38,016571
21759;;1ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΑΒΕΡΩΦ-ΠΑΠΑΦΛΕΣΣΑ;6Α;14232;ΝΕΑΣ ΙΩΝΙΑΣ ΑΤΤΙΚΗΣ;23,743999;38,034027
21763;;14ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΑΝΑΣΤ. ΖΙΝΝΗ;28;11742;ΑΘΗΝΑΙΩΝ;23,719586;37,962509
21766;;6ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΓΛΥΦΑΔΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;Αγίας Τριάδος;12;16674;ΓΛΥΦΑΔΑΣ;23,763992;37,870649
21773;;"ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ""Δ. ΣΟΛΩΜΟΣ""";ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;0;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;(null);(null);(null);(null);21,824312;39,074208
21839;;5ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΗΛΙΟΥΠΟΛΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΒΟΥΛΙΑΓΜΕΝΗΣ;525;16341;ΗΛΙΟΥΠΟΛΗΣ;23,742576;37,919638
21774;;"ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ""ΕΛΛΗΝΟΓΕΡΜΑΝΙΚΟΣ ΕΚΠΑΙΔΕΥΤΙΚΟΣ ΣΥΛΛΟΓΟΣ""";ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;0;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;(null);(null);(null);(null);21,824312;39,074208
21776;;"ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ""ΑΓΙΟΣ ΔΙΟΝΥΣΙΟΣ""";ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;0;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;(null);(null);(null);(null);21,824312;39,074208
21777;;"ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ""ΕΛΙΣΑΒΕΤΕΙΟ""";ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;0;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;(null);(null);(null);(null);21,824312;39,074208
21778;;"ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ""Α' ΝΕΑ ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΜΑΛΛΙΑΡΑ""";ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;0;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;(null);(null);(null);(null);21,824312;39,074208
21779;;"ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ""ΑΓΙΟΣ ΔΙΟΝΥΣΙΟΣ Ο ΑΡΕΟΠΑΓΙΤΗΣ"" ΝΕΑΣ ΣΜΥΡΝΗΣ";ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;0;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;(null);(null);(null);(null);21,824312;39,074208
21780;;"1ο ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ""ΕΚΠΑΙΔΕΥΤΗΡΙΑ ΠΑΣΧΑΛΗ-ΝΟΥΤΣΗ""";ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;0;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;(null);(null);(null);(null);23,7394903;37,9090543
21781;;"ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ""ΕΚΠΑΙΔΕΥΤΗΡΙΑ Ο ΠΛΑΤΩΝ""";ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;0;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;(null);(null);(null);(null);21,824312;39,074208
21782;;"ΙΔΙΩΤΙΚΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ""ΛΥΡΕΙΟ ΙΔΡΥΜΑ""";ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;0;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;(null);(null);(null);(null);21,824312;39,074208
