a_a_1;tetrapsifios_mai;ktirio_ypiresia;perifereia_1;nomos_1;megethos_1;typos_1;diefthinsi_forea;arithmos;tk_1;dimos_1;longitude;latitude
1918;2039;1ο ΚΛΙΜΑΚΙΟ Δ.Ο.Υ. ΑΓ. ΠΑΡΑΣΚΕΥΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;Δ.Ο.Υ. (ΚΛΙΜΑΚΙΑ);Ακροπόλεως 15Α & Κλεισθένους ΣΤΑΥΡΟΣ ΑΓ.ΠΑΡΑΣΚΕΥΗΣ;;;;23,8414474;38,0138868
1946;2067;ΜΤΠΥ (ΤΡΑΠΕΖΑ ΝΟΜΙΚΩΝ ΠΛΗΡΟΦΟΡΙΩΝ -ΤΝΠ);ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΤΝΠ;Λυκούργου 12, ΑΘΗΝΑ;;;;23,7277516;37,9827143
1921;2042;ΥΠΟΥΡΓΕΙΟ ΤΟΥΡΙΣΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ (ΤΡΑΠΕΖΑ ΝΟΜΙΚΩΝ ΠΛΗΡΟΦΟΡΙΩΝ -ΤΝΠ 1);ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΤΝΠ;ΜΕΣΟΓΕΙΩΝ 119;;;;23,7703618;37,9903242
1922;2043;ΥΠΟΥΡΓΕΙΟ ΑΝΑΠΤΥΞΗΣ (ΤΡΑΠΕΖΑ ΝΟΜΙΚΩΝ ΠΛΗΡΟΦΟΡΙΩΝ -ΤΝΠ);ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΤΝΠ;ΜΕΣΟΓΕΙΩΝ 14 - 18 ΑΘΗΝΑ;;;;23,7619393;37,9854598
1923;2044;ΥΠΟΥΡΓΕΙΟ ΑΝΑΠΤΥΞΗΣ (ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΕΜΠΟΡΙΟΥ) -(ΤΡΑΠΕΖΑ ΝΟΜΙΚΩΝ ΠΛΗΡΟΦΟΡΙΩΝ -ΤΝΠ);ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΤΝΠ;ΠΛΑΤΕΙΑ ΚΑΝΙΓΓΟΣ 20, ΑΘΗΝΑ;;;;23,716647;37,97918
1924;2045;ΥΠΟΥΡΓΕΙΟ ΤΟΥΡΙΣΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ (ΤΡΑΠΕΖΑ ΝΟΜΙΚΩΝ ΠΛΗΡΟΦΟΡΙΩΝ -ΤΝΠ 1);ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΤΝΠ;ΜΕΣΟΓΕΙΩΝ 109-111;;;;23,7703618;37,9903242
1925;2046;ΥΠΟΥΡΓΕΙΟ ΓΕΩΡΓΙΚΗΣ ΑΝΑΤΠΥΞΗΣ (ΤΡΑΠΕΖΑ ΝΟΜΙΚΩΝ ΠΛΗΡΟΦΟΡΙΩΝ -ΤΝΠ);ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΤΝΠ;Αχαρνών 2;;;;23,7266768;37,9874793
1926;2047;ΕΙΔΙΚΟ ΓΡΑΦΕΙΟ ΚΟΙΝΟΤΙΚΟΥ ΔΙΚΑΙΟΥ ΣΤΟ ΥΠΟΥΡΓΕΙΟ ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ (ΤΡΑΠΕΖΑ ΝΟΜΙΚΩΝ ΠΛΗΡΟΦΟΡΙΩΝ -ΤΝΠ);ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΤΝΠ;ΑΧΑΡΝΩΝ 29, ΑΘΗΝΑ;;;;23,7268084;37,9902771
1927;2048;ΥΠΟΥΡΓΕΙΟ ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ (ΤΡΑΠΕΖΑ ΝΟΜΙΚΩΝ ΠΛΗΡΟΦΟΡΙΩΝ -ΤΝΠ);ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΤΝΠ;Π. ΚΑΝΕΛΛΟΠΟΥΛΟΥ 4, ΑΘΗΝΑ;;;;23,716647;37,97918
1928;2049;ΥΠΟΥΡΓΕΙΟ ΔΙΚΑΙΟΣΥΝΗΣ (ΤΡΑΠΕΖΑ ΝΟΜΙΚΩΝ ΠΛΗΡΟΦΟΡΙΩΝ -ΤΝΠ);ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΤΝΠ;ΜΕΣΟΓΕΙΩΝ 96 ΑΘΗΝΑ;;;;23,7694754;37,9893978
